N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"76,900","1,300",-1.66%,100,"4,590,763","5,969,783",51.77,"9,091,202",14.91,9.99,
2,SK하이닉스,"120,500","3,000",-2.43%,"5,000","877,243","728,002",48.77,"2,436,028",10.89,9.53,
3,NAVER,"395,000","4,500",-1.13%,100,"648,840","164,263",56.56,"219,062",3.91,15.22,
4,삼성바이오로직스,"901,000","15,000",-1.64%,"2,500","596,147","66,165",10.76,"39,219",145.23,N/A,
5,삼성전자우,"70,600",0,0.00%,100,"580,958","822,887",74.60,"759,138",13.68,N/A,
6,카카오,"122,500",0,0.00%,100,"546,086","445,785",30.96,"957,002",48.23,2.70,
7,LG화학,"740,000","7,000",-0.94%,"5,000","522,383","70,592",47.37,"243,786",19.28,2.93,
8,삼성SDI,"709,000","1,000",+0.14%,"5,000","487,541","68,765",46.09,"183,129",44.47,4.54,
9,현대차,"207,500",500,+0.24%,"5,000","443,361","213,668",28.78,"442,537",10.51,2.04,
10,기아,"85,400","1,300",+1.55%,"5,000","346,180","405,363",35.20,"1,685,784",7.74,5.05,
11,카카오뱅크,"63,400",800,-1.25%,"5,000","301,251","475,159",6.59,"2,385,539",205.18,5.08,
12,셀트리온,"208,000","3,000",-1.42%,"1,000","286,930","137,947",20.09,"374,421",51.91,16.68,
13,카카오페이,"196,000","12,500",-6.00%,500,"258,419","131,847",42.59,"1,121,623",-975.12,-17.97,
14,POSCO,"281,500","13,500",-4.58%,"5,000","245,431","87,187",52.49,"1,040,212",4.22,3.61,
15,KB금융,"57,900",300,+0.52%,"5,000","240,753","415,808",69.56,"1,267,388",5.53,8.53,
16,크래프톤,"489,500","10,500",+2.19%,100,"239,642","48,957",29.85,"220,223",38.37,61.86,
17,현대모비스,"244,500","3,000",+1.24%,"5,000","231,231","94,573",34.45,"208,488",9.84,4.66,
18,삼성물산,"119,500","2,000",+1.70%,100,"223,330","186,887",15.14,"348,941",13.60,3.81,
19,LG전자,"126,000","3,000",+2.44%,"5,000","206,196","163,648",30.01,"667,460",18.18,13.23,
20,SK이노베이션,"217,500","9,500",+4.57%,"5,000","201,113","92,466",24.61,"711,805","-6,397.06",-13.58,
21,신한지주,"37,300",350,-0.93%,"5,000","192,692","516,600",60.24,"796,756",4.95,8.20,
22,SK바이오사이언스,"249,000",500,-0.20%,500,"190,485","76,500",6.30,"420,010",95.88,13.25,
23,SK,"265,000",0,0.00%,200,"186,455","70,360",19.77,"91,936",30.97,1.11,
24,LG생활건강,"1,165,000","7,000",-0.60%,"5,000","181,952","15,618",43.86,"14,607",24.24,17.92,
25,엔씨소프트,"727,000","10,000",-1.36%,500,"159,606","21,954",45.30,"155,801",44.88,20.83,
26,하이브,"352,000","2,500",-0.71%,500,"145,564","41,353",16.47,"195,526",125.22,12.52,
27,한국전력,"22,150",200,-0.89%,"5,000","142,195","641,964",14.69,"801,644",-13.05,2.91,
28,LG,"86,600","2,600",+3.10%,"5,000","136,223","157,301",33.57,"279,455",5.71,7.50,
29,삼성생명,"67,300",100,+0.15%,500,"134,600","200,000",12.53,"210,465",8.60,3.53,
30,HMM,"27,350",300,-1.08%,"5,000","133,752","489,039",10.12,"1,302,263",3.45,8.93,
31,삼성전기,"178,000","1,000",+0.56%,"5,000","132,955","74,694",30.67,"347,092",13.68,10.92,
32,하나금융지주,"43,100",200,-0.46%,"5,000","129,404","300,242",67.50,"594,107",4.03,8.96,
33,SK아이이테크놀로지,"176,000","3,500",+2.03%,"1,000","125,484","71,298",11.39,"601,700",115.71,11.00,
34,삼성에스디에스,"161,500","7,000",+4.53%,500,"124,965","77,378",11.44,"269,958",18.39,6.71,
35,SK텔레콤,"55,800",100,-0.18%,100,"122,109","218,833",43.44,"707,188",8.66,6.44,
36,KT&G,"86,000",300,+0.35%,"5,000","118,072","137,292",35.76,"337,593",9.92,13.22,
37,두산중공업,"22,000",350,+1.62%,"5,000","114,537","520,622",8.36,"3,487,597",63.04,-37.20,
38,포스코케미칼,"145,000","4,500",-3.01%,500,"112,322","77,463",6.52,"362,760",80.96,2.96,
39,아모레퍼시픽,"179,000","1,500",+0.85%,500,"104,702","58,493",31.26,"105,561",69.03,0.78,
40,넷마블,"121,000",500,-0.41%,100,"104,004","85,954",22.96,"128,731",44.75,6.35,
41,대한항공,"29,400",250,-0.84%,"5,000","102,259","347,821",11.76,"741,119",13.81,-7.22,
42,삼성화재,"211,000",500,+0.24%,500,"99,961","47,375",48.70,"46,020",9.12,4.96,
43,S-Oil,"88,000","1,600",-1.79%,"2,500","99,073","112,583",77.87,"357,106",8.47,-13.07,
44,고려아연,"513,000","9,000",+1.79%,"5,000","96,803","18,870",18.12,"33,652",12.83,8.37,
45,현대중공업,"107,500",500,+0.47%,"5,000","95,431","88,773",1.72,"213,617",-11.73,-7.86,
46,우리금융지주,"13,000",50,-0.38%,"5,000","94,648","728,061",29.75,"1,390,889",3.98,5.87,
47,SK스퀘어,"63,300","1,800",-2.76%,100,"89,549","141,468",39.99,"1,402,068",N/A,N/A,
48,SK바이오팜,"106,500","5,000",+4.93%,500,"83,404","78,313",6.25,"642,274",-206.40,-135.18,
49,기업은행,"10,950",50,-0.45%,"5,000","81,501","744,301",12.85,"638,979",4.05,6.44,
50,KT,"30,950",0,0.00%,"5,000","80,814","261,112",43.40,"393,641",7.91,4.76,
1,삼성전자,"76,900","1,300",-1.66%,100,"4,590,763","5,969,783",51.77,"9,091,202",14.91,9.99,
2,SK하이닉스,"120,500","3,000",-2.43%,"5,000","877,243","728,002",48.77,"2,436,028",10.89,9.53,
3,NAVER,"395,000","4,500",-1.13%,100,"648,840","164,263",56.56,"219,062",3.91,15.22,
4,삼성바이오로직스,"901,000","15,000",-1.64%,"2,500","596,147","66,165",10.76,"39,219",145.23,N/A,
5,삼성전자우,"70,600",0,0.00%,100,"580,958","822,887",74.60,"759,138",13.68,N/A,
6,카카오,"122,500",0,0.00%,100,"546,086","445,785",30.96,"957,002",48.23,2.70,
7,LG화학,"740,000","7,000",-0.94%,"5,000","522,383","70,592",47.37,"243,786",19.28,2.93,
8,삼성SDI,"709,000","1,000",+0.14%,"5,000","487,541","68,765",46.09,"183,129",44.47,4.54,
9,현대차,"207,500",500,+0.24%,"5,000","443,361","213,668",28.78,"442,537",10.51,2.04,
10,기아,"85,400","1,300",+1.55%,"5,000","346,180","405,363",35.20,"1,685,784",7.74,5.05,
11,카카오뱅크,"63,400",800,-1.25%,"5,000","301,251","475,159",6.59,"2,385,539",205.18,5.08,
12,셀트리온,"208,000","3,000",-1.42%,"1,000","286,930","137,947",20.09,"374,421",51.91,16.68,
13,카카오페이,"196,000","12,500",-6.00%,500,"258,419","131,847",42.59,"1,121,623",-975.12,-17.97,
14,POSCO,"281,500","13,500",-4.58%,"5,000","245,431","87,187",52.49,"1,040,212",4.22,3.61,
15,KB금융,"57,900",300,+0.52%,"5,000","240,753","415,808",69.56,"1,267,388",5.53,8.53,
16,크래프톤,"489,500","10,500",+2.19%,100,"239,642","48,957",29.85,"220,223",38.37,61.86,
17,현대모비스,"244,500","3,000",+1.24%,"5,000","231,231","94,573",34.45,"208,488",9.84,4.66,
18,삼성물산,"119,500","2,000",+1.70%,100,"223,330","186,887",15.14,"348,941",13.60,3.81,
19,LG전자,"126,000","3,000",+2.44%,"5,000","206,196","163,648",30.01,"667,460",18.18,13.23,
20,SK이노베이션,"217,500","9,500",+4.57%,"5,000","201,113","92,466",24.61,"711,805","-6,397.06",-13.58,
21,신한지주,"37,300",350,-0.93%,"5,000","192,692","516,600",60.24,"796,756",4.95,8.20,
22,SK바이오사이언스,"249,000",500,-0.20%,500,"190,485","76,500",6.30,"420,010",95.88,13.25,
23,SK,"265,000",0,0.00%,200,"186,455","70,360",19.77,"91,936",30.97,1.11,
24,LG생활건강,"1,165,000","7,000",-0.60%,"5,000","181,952","15,618",43.86,"14,607",24.24,17.92,
25,엔씨소프트,"727,000","10,000",-1.36%,500,"159,606","21,954",45.30,"155,801",44.88,20.83,
